Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KRQB,Roben Hood Airport,43.7225990295,-85.50409698490002,Commercial Freighter,1,57,251,87,112,1606
US,United States of America (the),KRQB,Roben Hood Airport,43.7225990295,-85.50409698490002,General Aviation,1001,11282,29638,2210,193075,8732188
US,United States of America (the),KPHH,Robert F Swinnie Airport,33.4516983032,-79.5261993408,Commercial Passenger,29,2918,21330,1852,35134,133071
US,United States of America (the),KPHH,Robert F Swinnie Airport,33.4516983032,-79.5261993408,General Aviation,557,6938,19382,950,119960,5686098
US,United States of America (the),KSZY,Robert Sibley Airport,35.20289993286133,-88.49839782714844,Commercial Passenger,244,9213,39875,12098,64819,406126
US,United States of America (the),KSZY,Robert Sibley Airport,35.20289993286133,-88.49839782714844,General Aviation,347,3878,11011,500,79111,3211078
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,Commercial Passenger,9514,4401987,44590181,401867,4602505,52081699
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,Commercial Freighter,305,43747,258898,26467,5383,1465070
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,General Aviation,15081,164888,635943,27852,2881807,116225917
US,United States of America (the),KWRB,Robins Air Force Base,32.640099,-83.591904,Commercial Passenger,209,57098,170745,33293,51401,1549101
US,United States of America (the),KWRB,Robins Air Force Base,32.640099,-83.591904,Commercial Freighter,2,5010,69084,256,3216,39192
US,United States of America (the),KWRB,Robins Air Force Base,32.640099,-83.591904,General Aviation,462,12730,33326,5968,83655,3668996
US,United States of America (the),KRBM,Robinson Army Air Field,34.847656,-92.29949,Commercial Passenger,77,13821,59812,9311,18569,417897
US,United States of America (the),KRBM,Robinson Army Air Field,34.847656,-92.29949,General Aviation,864,38448,48953,24538,169309,8825761
US,United States of America (the),KRPJ,Rochelle Municipal Airport - Koritz Field,41.893002,-89.0783,Commercial Passenger,911,34832,186614,40685,124240,1281589
US,United States of America (the),KRPJ,Rochelle Municipal Airport - Koritz Field,41.893002,-89.0783,Commercial Freighter,2,3468,49680,134,1960,24664
US,United States of America (the),KRPJ,Rochelle Municipal Airport - Koritz Field,41.893002,-89.0783,General Aviation,1906,18993,51767,2617,354869,15459437
US,United States of America (the),KRST,Rochester International Airport,43.908298,-92.5,Commercial Passenger,3653,1029255,8826598,179557,2559014,19308574
