,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
823,United States of America (the),John Glenn Columbus International Airport,39.998001,-82.891899,49588,29945711,349483670
827,United States of America (the),John Wayne Orange County International Airport,33.675701,-117.867996,86856,37445558,443410420
831,United States of America (the),Johnston Regional Airport,35.540901,-78.390297,22596,208294,805005
834,Kenya,Jomo Kenyatta International Airport,-1.31923997402,36.9277992249,40415,37060463,549209344
838,Peru,Jorge Chávez International Airport,-12.0219,-77.114305,81361,73930963,1094673692
842,Argentina,Jorge Newbery Airpark,-34.5592,-58.4156,51237,37332958,463943317
845,Colombia,Jose Maria Córdova International Airport,6.16454,-75.4231,43949,39220813,602173866
849,Spain,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,154523,139495073,2058910671
853,Costa Rica,Juan Santamaría International Airport,9.99386,-84.208801,35477,23171035,335915746
857,Indonesia,Juanda International Airport,-7.37983,112.787003,48209,41595047,593330645
861,United States of America (the),Kahului International Airport,20.896263,-156.431837,47329,28909429,423913230
865,Japan,Kansai International Airport,34.427299,135.244003,77150,96164911,1628266846
869,United States of America (the),Kansas City International Airport,39.2976,-94.713898,55860,41954173,524305997
873,Iceland,Keflavik International Airport,63.985001,-22.6056,28719,25620368,390091847
877,India,Kempegowda International Airport,13.1979,77.706299,121375,95913207,1513900317
881,Saudi Arabia,King Abdulaziz International Airport,21.6796,39.156502,129181,170097600,2917469270
885,Saudi Arabia,King Fahd International Airport,26.471201,49.797901,45982,42630682,656960639
889,Saudi Arabia,King Khaled International Airport,24.9576,46.698799,112694,127240620,2092133160
893,United States of America (the),Kissimmee Gateway Airport,28.2898006439,-81.4371032715,24162,410874,1578348
897,Russian Federation (the),Koltsovo Airport,56.743099212646,60.802700042725,25579,21403304,287295006
901,Malaysia,Kota Kinabalu International Airport,5.932743,116.049324,27504,20625366,284892318
905,Poland,Kraków John Paul II International Airport,50.077702,19.7848,32486,22845851,303785880
909,Malaysia,Kuala Lumpur International Airport,2.74558,101.709999,160942,165326095,2522763738
913,Indonesia,Kualanamu International Airport,3.637847,98.870566,24203,19129613,272288994
